"Submission Num","Car Rental","Gas for Car Rental","Parking and Tolls","Airfare","Ground Transportation"
195.00,$0.00,$0.00,$0.00,$0.00,$0.00
196.00,$0.00,$0.00,$0.00,$0.00,$0.00
197.00,$0.00,$0.00,$0.00,$0.00,$0.00
198.00,$0.00,$0.00,$0.00,$0.00,$0.00
199.00,$0.00,$0.00,$0.00,$0.00,$0.00
200.00,$0.00,$0.00,$0.00,$0.00,$0.00
201.00,$0.00,$0.00,$215.00,$0.00,$0.00
202.00,$0.00,$0.00,$4.70,$0.00,$0.00
203.00,$0.00,$0.00,$0.00,$0.00,$0.00
204.00,$0.00,$0.00,$0.00,$0.00,$0.00
206.00,$0.00,$0.00,$0.00,$0.00,$0.00
207.00,$0.00,$0.00,$105.00,$0.00,$0.00
208.00,$0.00,$0.00,$0.00,$0.00,$0.00
209.00,$0.00,$0.00,$0.00,$0.00,$0.00
210.00,$0.00,$0.00,$0.00,$0.00,$0.00
211.00,$0.00,$0.00,$0.00,$0.00,$0.00
212.00,$0.00,$0.00,$0.00,$0.00,$0.00
213.00,$644.94,$47.00,$144.00,$486.96,$0.00
214.00,$644.94,$47.00,$144.00,$486.96,$0.00
215.00,$0.00,$0.00,$0.00,$0.00,$0.00
216.00,$0.00,$0.00,$0.00,$0.00,$0.00
217.00,$0.00,$0.00,$0.00,$0.00,$0.00
218.00,$0.00,$0.00,$0.00,$0.00,$0.00
219.00,$0.00,$0.00,$20.00,$0.00,$0.00
220.00,$0.00,$0.00,$18.00,$0.00,$0.00
221.00,$219.57,$35.66,$52.91,$0.00,$0.00
222.00,$0.00,$0.00,$35.36,$0.00,$0.00
223.00,$0.00,$0.00,$0.00,$0.00,$0.00
224.00,$0.00,$0.00,$0.00,$0.00,$0.00
225.00,$0.00,$0.00,$0.00,$0.00,$0.00
226.00,$340.78,$62.01,$80.00,$547.34,$0.00
227.00,$0.00,$0.00,$0.00,$0.00,$0.00
228.00,$324.45,$106.00,$300.00,$0.00,$0.00
229.00,$0.00,$0.00,$0.00,$0.00,$0.00
230.00,$0.00,$0.00,$0.00,$0.00,$0.00
231.00,$0.00,$0.00,$0.00,$0.00,$0.00
232.00,$0.00,$0.00,$3.90,$0.00,$0.00
233.00,$0.00,$0.00,$4.80,$0.00,$0.00
234.00,$0.00,$0.00,$23.62,$0.00,$0.00
235.00,$0.00,$0.00,$2.95,$0.00,$0.00
236.00,$373.23,$0.00,$60.00,$0.00,$8.50
237.00,$0.00,$0.00,$0.00,$0.00,$0.00
238.00,$0.00,$0.00,$0.00,$0.00,$0.00
239.00,$201.63,$21.28,$0.00,$658.10,$0.00
240.00,$0.00,$0.00,$61.44,$0.00,$0.00
242.00,$0.00,$0.00,$130.48,$0.00,$0.00
243.00,$0.00,$0.00,$48.72,$0.00,$0.00
244.00,$0.00,$0.00,$39.33,$0.00,$0.00
245.00,$0.00,$0.00,$0.00,$0.00,$0.00
246.00,$0.00,$0.00,$2.99,$0.00,$0.00
247.00,$0.00,$0.00,$6.00,$0.00,$0.00
248.00,$0.00,$0.00,$6.88,$0.00,$0.00
249.00,$0.00,$0.00,$136.92,$0.00,$0.00
250.00,$0.00,$0.00,$0.00,$0.00,$0.00
251.00,$0.00,$0.00,$35.58,$0.00,$0.00
252.00,$0.00,$0.00,$3.00,$0.00,$0.00
253.00,$0.00,$0.00,$2.65,$0.00,$0.00
254.00,$0.00,$0.00,$0.00,$0.00,$0.00
255.00,$0.00,$0.00,$21.96,$0.00,$0.00
256.00,$0.00,$0.00,$0.00,$0.00,$0.00
257.00,$0.00,$0.00,$55.73,$0.00,$0.00
258.00,$0.00,$0.00,$0.00,$0.00,$0.00
259.00,$0.00,$0.00,$0.00,$0.00,$0.00
260.00,$0.00,$0.00,$0.00,$0.00,$0.00
261.00,$0.00,$0.00,$0.00,$0.00,$0.00
262.00,$0.00,$0.00,$0.00,$0.00,$0.00
263.00,$0.00,$0.00,$0.00,$0.00,$0.00
264.00,$0.00,$0.00,$5.80,$0.00,$0.00
265.00,$0.00,$0.00,$0.00,$0.00,$0.00
266.00,$0.00,$0.00,$0.00,$0.00,$0.00
267.00,$0.00,$0.00,$0.00,$0.00,$0.00
268.00,$0.00,$0.00,$0.00,$0.00,$0.00
269.00,$0.00,$0.00,$4.70,$0.00,$0.00
271.00,$0.00,$0.00,$0.00,$0.00,$0.00
272.00,$0.00,$0.00,$0.00,$0.00,$0.00
273.00,$0.00,$0.00,$0.00,$0.00,$0.00
274.00,$0.00,$0.00,$10.97,$0.00,$0.00
275.00,$0.00,$0.00,$0.00,$0.00,$0.00
276.00,$0.00,$0.00,$3.30,$0.00,$0.00
277.00,$0.00,$0.00,$193.72,$0.00,$0.00
278.00,$0.00,$0.00,$0.00,$0.00,$0.00
279.00,$0.00,$0.00,$0.00,$0.00,$0.00
280.00,$0.00,$0.00,$80.46,$0.00,$0.00
281.00,$0.00,$0.00,$0.00,$0.00,$0.00
282.00,$0.00,$0.00,$0.00,$0.00,$0.00
283.00,$0.00,$0.00,$0.00,$0.00,$0.00
285.00,$0.00,$0.00,$5.00,$0.00,$0.00
286.00,$0.00,$0.00,$100.83,$0.00,$0.00
287.00,$0.00,$0.00,$142.47,$0.00,$0.00
288.00,$255.51,$90.11,$4.50,$0.00,$0.00
289.00,$420.69,$102.54,$111.00,$793.55,$0.00
291.00,$0.00,$0.00,$0.00,$0.00,$0.00
292.00,$0.00,$0.00,$0.00,$0.00,$0.00
293.00,$0.00,$0.00,$23.00,$0.00,$0.00
294.00,$0.00,$0.00,$0.00,$0.00,$0.00
295.00,$0.00,$0.00,$0.00,$0.00,$0.00
296.00,$243.38,$37.00,$25.00,$158.38,$0.00
297.00,$0.00,$0.00,$0.00,$0.00,$0.00
298.00,$0.00,$0.00,$0.00,$0.00,$0.00
299.00,$0.00,$0.00,$0.00,$0.00,$0.00
300.00,$0.00,$0.00,$4.68,$0.00,$0.00
301.00,$0.00,$0.00,$0.00,$0.00,$0.00
302.00,$0.00,$0.00,$0.00,$0.00,$0.00
303.00,$0.00,$0.00,$0.00,$0.00,$0.00
304.00,$0.00,$0.00,$0.00,$0.00,$0.00
305.00,$0.00,$0.00,$3.80,$0.00,$0.00
306.00,$307.74,$69.77,$124.53,$0.00,$0.00
309.00,$0.00,$0.00,$0.00,$0.00,$0.00
311.00,$0.00,$0.00,$0.00,$0.00,$0.00
313.00,$0.00,$0.00,$0.00,$0.00,$0.00
314.00,$0.00,$0.00,$0.00,$0.00,$0.00
315.00,$0.00,$0.00,$0.00,$0.00,$0.00
316.00,$0.00,$0.00,$17.00,$0.00,$0.00
317.00,$0.00,$0.00,$15.00,$0.00,$0.00
318.00,$0.00,$0.00,$0.00,$0.00,$0.00
319.00,$0.00,$0.00,$0.00,$0.00,$0.00
320.00,$0.00,$0.00,$28.20,$0.00,$0.00
321.00,$0.00,$0.00,$0.00,$0.00,$0.00
322.00,$0.00,$0.00,$0.00,$0.00,$0.00
323.00,$0.00,$0.00,$0.00,$0.00,$0.00
324.00,$0.00,$0.00,$0.00,$0.00,$12.00
325.00,$0.00,$0.00,$0.00,$0.00,$0.00
326.00,$0.00,$0.00,$0.00,$0.00,$0.00
327.00,$0.00,$0.00,$0.00,$0.00,$0.00
328.00,$0.00,$0.00,$0.00,$0.00,$0.00
329.00,$0.00,$0.00,$0.00,$0.00,$0.00
330.00,$0.00,$0.00,$0.00,$0.00,$0.00
331.00,$0.00,$0.00,$0.00,$0.00,$0.00
332.00,$0.00,$0.00,$0.00,$0.00,$0.00
333.00,$0.00,$0.00,$0.00,$0.00,$0.00
334.00,$0.00,$0.00,$0.00,$0.00,$0.00
335.00,$0.00,$0.00,$62.00,$0.00,$0.00
336.00,$0.00,$0.00,$0.00,$0.00,$0.00
337.00,$0.00,$0.00,$3.80,$0.00,$0.00
338.00,$0.00,$0.00,$4.68,$0.00,$0.00
339.00,$0.00,$0.00,$5.00,$0.00,$0.00
340.00,$0.00,$0.00,$0.00,$0.00,$0.00
341.00,$0.00,$0.00,$0.00,$0.00,$0.00
342.00,$0.00,$0.00,$0.00,$0.00,$0.00
343.00,$0.00,$0.00,$0.00,$0.00,$0.00
344.00,$0.00,$0.00,$0.00,$0.00,$0.00
345.00,$0.00,$0.00,$0.00,$0.00,$0.00
346.00,$0.00,$0.00,$0.00,$0.00,$0.00
347.00,$0.00,$0.00,$0.00,$0.00,$0.00
348.00,$0.00,$0.00,$0.00,$0.00,$0.00
349.00,$491.85,$36.01,$106.00,$793.55,$11.61
350.00,$0.00,$0.00,$44.00,$0.00,$0.00
351.00,$0.00,$0.00,$25.00,$0.00,$0.00
352.00,$0.00,$0.00,$0.00,$429.18,$0.00
353.00,$0.00,$0.00,$0.00,$0.00,$0.00
354.00,$0.00,$0.00,$4.38,$0.00,$0.00
355.00,$0.00,$0.00,$7.90,$0.00,$0.00
356.00,$0.00,$0.00,$0.00,$0.00,$0.00
357.00,$72.22,$33.19,$116.67,$1136.62,$0.00
358.00,$0.00,$0.00,$0.00,$0.00,$0.00
359.00,$0.00,$0.00,$0.00,$0.00,$0.00
360.00,$0.00,$0.00,$0.00,$0.00,$0.00
361.00,$0.00,$0.00,$5.80,$0.00,$0.00
362.00,$0.00,$0.00,$0.00,$0.00,$0.00
363.00,$0.00,$0.00,$0.00,$0.00,$0.00
364.00,$0.00,$0.00,$0.00,$0.00,$0.00
365.00,$0.00,$0.00,$0.00,$0.00,$0.00
366.00,$0.00,$0.00,$3.43,$0.00,$0.00
367.00,$0.00,$0.00,$0.00,$0.00,$0.00
368.00,$0.00,$0.00,$0.00,$0.00,$0.00
369.00,$0.00,$0.00,$3.00,$0.00,$0.00
370.00,$0.00,$0.00,$0.00,$0.00,$0.00
371.00,$0.00,$0.00,$0.00,$0.00,$0.00
372.00,$0.00,$0.00,$0.00,$0.00,$0.00
373.00,$0.00,$0.00,$0.00,$0.00,$0.00
374.00,$0.00,$0.00,$0.00,$0.00,$0.00
375.00,$0.00,$0.00,$6.00,$0.00,$0.00
376.00,$0.00,$0.00,$6.00,$0.00,$0.00
377.00,$153.85,$18.33,$12.00,$0.00,$0.00
378.00,$316.95,$37.59,$54.50,$0.00,$0.00
379.00,$171.36,$40.00,$0.00,$0.00,$0.00
380.00,$0.00,$0.00,$0.00,$0.00,$0.00
382.00,$0.00,$0.00,$75.84,$0.00,$0.00
383.00,$0.00,$0.00,$0.00,$0.00,$0.00
384.00,$0.00,$0.00,$0.00,$0.00,$0.00
385.00,$0.00,$0.00,$0.00,$0.00,$0.00
386.00,$0.00,$0.00,$0.00,$0.00,$0.00
387.00,$0.00,$0.00,$0.00,$0.00,$0.00
388.00,$0.00,$0.00,$4.70,$0.00,$0.00
389.00,$0.00,$0.00,$40.00,$302.18,$0.00
390.00,$0.00,$0.00,$0.00,$0.00,$0.00
391.00,$0.00,$0.00,$40.00,$302.18,$0.00
392.00,$0.00,$0.00,$0.00,$0.00,$0.00
393.00,$209.64,$19.54,$0.00,$857.36,$57.93
394.00,$125.19,$0.00,$10.29,$359.95,$0.00
395.00,$0.00,$0.00,$0.00,$0.00,$0.00
396.00,$0.00,$0.00,$6.24,$0.00,$0.00
397.00,$73.92,$44.00,$0.00,$0.00,$0.00
398.00,$0.00,$0.00,$0.00,$0.00,$0.00
399.00,$0.00,$0.00,$0.00,$0.00,$0.00
400.00,$0.00,$0.00,$0.00,$0.00,$0.00
401.00,$0.00,$0.00,$0.00,$0.00,$0.00
402.00,$0.00,$0.00,$35.00,$0.00,$0.00
403.00,$0.00,$0.00,$48.00,$0.00,$0.00
404.00,$0.00,$0.00,$0.00,$0.00,$0.00
405.00,$0.00,$0.00,$0.00,$0.00,$0.00
406.00,$0.00,$0.00,$0.00,$0.00,$0.00
407.00,$402.99,$26.00,$120.00,$866.36,$0.00
408.00,$0.00,$0.00,$0.00,$0.00,$0.00
409.00,$0.00,$0.00,$166.68,$0.00,$0.00
410.00,$0.00,$0.00,$67.52,$0.00,$0.00
411.00,$135.22,$40.00,$64.00,$0.00,$0.00
412.00,$0.00,$0.00,$0.00,$0.00,$0.00
413.00,$0.00,$0.00,$0.00,$0.00,$0.00
414.00,$0.00,$0.00,$0.00,$0.00,$0.00
415.00,$0.00,$0.00,$0.00,$0.00,$0.00
416.00,$0.00,$0.00,$0.00,$0.00,$0.00
417.00,$0.00,$0.00,$0.00,$0.00,$0.00
418.00,$0.00,$0.00,$0.00,$0.00,$0.00
419.00,$0.00,$0.00,$0.00,$0.00,$0.00
420.00,$0.00,$0.00,$0.00,$0.00,$0.00
421.00,$0.00,$0.00,$0.00,$0.00,$0.00
422.00,$0.00,$0.00,$0.00,$0.00,$0.00
423.00,$0.00,$0.00,$0.00,$0.00,$0.00
424.00,$0.00,$0.00,$0.00,$0.00,$0.00
425.00,$0.00,$0.00,$110.85,$0.00,$0.00
426.00,$0.00,$0.00,$155.90,$0.00,$0.00
427.00,$0.00,$0.00,$0.00,$0.00,$0.00
428.00,$0.00,$0.00,$191.74,$0.00,$0.00
429.00,$0.00,$0.00,$0.00,$0.00,$0.00
430.00,$78.40,$25.00,$0.00,$0.00,$0.00
431.00,$0.00,$0.00,$0.00,$0.00,$0.00
432.00,$0.00,$0.00,$0.00,$0.00,$0.00
433.00,$0.00,$0.00,$6.24,$0.00,$0.00
434.00,$0.00,$0.00,$4.70,$0.00,$0.00
435.00,$0.00,$0.00,$0.00,$0.00,$0.00
436.00,$0.00,$0.00,$0.00,$0.00,$0.00
437.00,$0.00,$0.00,$0.00,$0.00,$0.00
438.00,$0.00,$0.00,$0.00,$0.00,$0.00
439.00,$0.00,$0.00,$0.00,$0.00,$0.00
440.00,$0.00,$0.00,$0.00,$0.00,$0.00
441.00,$0.00,$0.00,$2.40,$0.00,$0.00
442.00,$0.00,$0.00,$0.00,$0.00,$0.00
443.00,$725.95,$21.18,$0.00,$1335.80,$12.00
444.00,$0.00,$0.00,$0.00,$0.00,$0.00
445.00,$292.79,$33.27,$0.00,$506.49,$0.00
446.00,$0.00,$0.00,$0.00,$0.00,$0.00
447.00,$0.00,$0.00,$0.00,$0.00,$0.00
448.00,$0.00,$0.00,$0.00,$0.00,$0.00
449.00,$0.00,$0.00,$60.27,$0.00,$0.00
450.00,$0.00,$0.00,$12.00,$0.00,$0.00
451.00,$199.98,$5.32,$0.00,$716.97,$0.00
452.00,$0.00,$0.00,$0.00,$0.00,$0.00
453.00,$0.00,$0.00,$0.00,$0.00,$0.00
454.00,$0.00,$0.00,$0.00,$0.00,$0.00
455.00,$0.00,$0.00,$0.00,$0.00,$0.00
456.00,$0.00,$0.00,$18.90,$0.00,$0.00
457.00,$0.00,$0.00,$0.00,$0.00,$0.00
458.00,$0.00,$0.00,$0.00,$0.00,$0.00
459.00,$0.00,$0.00,$5.80,$0.00,$0.00
460.00,$0.00,$0.00,$0.00,$0.00,$0.00
461.00,$395.20,$43.83,$59.99,$700.95,$0.00
462.00,$0.00,$33.05,$0.00,$0.00,$0.00
463.00,$0.00,$0.00,$0.00,$0.00,$0.00
464.00,$0.00,$0.00,$62.00,$0.00,$0.00
465.00,$0.00,$0.00,$100.00,$0.00,$0.00
466.00,$0.00,$0.00,$7.00,$0.00,$0.00
467.00,$0.00,$0.00,$0.00,$0.00,$0.00
468.00,$0.00,$0.00,$5.00,$0.00,$0.00
469.00,$0.00,$0.00,$20.26,$0.00,$0.00
470.00,$0.00,$0.00,$22.32,$0.00,$0.00
471.00,$0.00,$0.00,$2.15,$0.00,$0.00
472.00,$0.00,$0.00,$0.00,$0.00,$0.00
473.00,$0.00,$0.00,$0.00,$0.00,$0.00
474.00,$329.28,$124.72,$0.00,$758.75,$0.00
475.00,$141.14,$0.00,$0.00,$0.00,$0.00
476.00,$0.00,$0.00,$0.00,$0.00,$0.00
477.00,$0.00,$0.00,$0.00,$0.00,$0.00
478.00,$0.00,$0.00,$0.00,$0.00,$0.00
479.00,$0.00,$0.00,$30.05,$0.00,$0.00
480.00,$0.00,$0.00,$0.00,$0.00,$0.00
481.00,$0.00,$0.00,$1.95,$0.01,$0.00
482.00,$0.00,$0.00,$14.99,$0.00,$0.00
483.00,$0.00,$0.00,$0.00,$0.00,$0.00
484.00,$0.00,$0.00,$3.05,$0.00,$0.00
485.00,$0.00,$0.00,$0.00,$0.00,$0.00
486.00,$0.00,$0.00,$57.00,$0.00,$0.00
487.00,$0.00,$0.00,$0.00,$0.00,$0.00
488.00,$0.00,$0.00,$81.86,$369.97,$88.00
489.00,$0.00,$0.00,$15.00,$0.00,$0.00
490.00,$0.00,$0.00,$15.00,$0.00,$0.00
491.00,$0.00,$0.00,$0.00,$0.00,$0.00
492.00,$0.00,$33.05,$0.00,$0.00,$0.00
493.00,$0.00,$0.00,$35.31,$0.00,$0.00
494.00,$0.00,$0.00,$1.90,$0.00,$0.00
495.00,$0.00,$0.00,$60.00,$0.00,$0.00
496.00,$148.34,$58.68,$0.00,$1163.78,$0.00
497.00,$0.00,$0.00,$0.00,$0.00,$0.00
498.00,$0.00,$0.00,$50.00,$0.00,$0.00
499.00,$0.00,$0.00,$0.00,$0.00,$0.00
500.00,$135.22,$33.00,$37.58,$0.00,$0.00
501.00,$317.34,$42.15,$15.70,$0.00,$0.00
502.00,$0.00,$0.00,$15.10,$0.00,$0.00
503.00,$220.89,$30.98,$26.50,$0.00,$0.00
504.00,$0.00,$0.00,$42.20,$0.00,$0.00
505.00,$0.00,$0.00,$6.00,$0.00,$0.00
506.00,$0.00,$0.00,$46.80,$0.00,$0.00
507.00,$0.00,$0.00,$0.00,$0.00,$0.00
508.00,$0.00,$0.00,$0.00,$0.00,$0.00
509.00,$0.00,$0.00,$0.00,$0.00,$0.00
510.00,$0.00,$0.00,$0.00,$0.00,$0.00
511.00,$0.00,$0.00,$0.00,$0.00,$0.00
512.00,$159.71,$12.68,$77.00,$860.95,$0.00
513.00,$0.00,$0.00,$0.00,$0.00,$0.00
514.00,$0.00,$65.53,$0.00,$0.00,$0.00
515.00,$0.00,$0.00,$0.00,$0.00,$0.00
516.00,$0.00,$0.00,$4.50,$0.00,$0.00
517.00,$0.00,$0.00,$31.97,$0.00,$0.00
518.00,$0.00,$0.00,$0.00,$0.00,$0.00
519.00,$0.00,$0.00,$5.80,$0.00,$0.00
520.00,$0.00,$0.00,$0.00,$0.00,$0.00
521.00,$0.00,$0.00,$0.00,$0.00,$0.00
522.00,$0.00,$0.00,$0.00,$0.00,$0.00
523.00,$0.00,$0.00,$0.00,$0.00,$0.00
524.00,$0.00,$0.00,$0.00,$0.00,$0.00
526.00,$135.22,$33.00,$37.58,$0.00,$0.00
